width,t/T,mean±std,mean,std,n_trials,depth,sigma0
128,0.1,3.40e-02 ± 1.89e-03,3.40329511e-02,1.88577731e-03,10,4,0.1
128,0.3,3.98e-02 ± 1.81e-03,3.98172764e-02,1.81016724e-03,10,4,0.1
128,0.5,8.62e-03 ± 5.71e-04,8.61720891e-03,5.70936826e-04,10,4,0.1
128,0.7,5.47e-03 ± 7.15e-04,5.46549564e-03,7.14974313e-04,10,4,0.1
128,0.9,5.27e-03 ± 5.45e-04,5.26810963e-03,5.45426601e-04,10,4,0.1
256,0.1,9.60e-03 ± 1.04e-03,9.60032513e-03,1.03631878e-03,10,4,0.1
256,0.3,1.90e-02 ± 2.67e-03,1.89961000e-02,2.67207308e-03,10,4,0.1
256,0.5,4.96e-03 ± 4.93e-04,4.96214350e-03,4.92530245e-04,10,4,0.1
256,0.7,2.99e-03 ± 8.62e-04,2.98904952e-03,8.61693006e-04,10,4,0.1
256,0.9,3.48e-03 ± 1.17e-03,3.48467569e-03,1.16606880e-03,10,4,0.1
512,0.1,6.71e-03 ± 2.85e-03,6.70703593e-03,2.84597484e-03,10,4,0.1
512,0.3,4.93e-03 ± 4.43e-04,4.93012441e-03,4.43281316e-04,10,4,0.1
512,0.5,3.11e-03 ± 3.67e-04,3.10671931e-03,3.66788447e-04,10,4,0.1
512,0.7,1.49e-03 ± 4.39e-04,1.49064609e-03,4.39310725e-04,10,4,0.1
512,0.9,1.83e-03 ± 7.15e-04,1.83090020e-03,7.15064154e-04,10,4,0.1
1024,0.1,3.04e-03 ± 2.70e-04,3.03597957e-03,2.70199056e-04,10,4,0.1
1024,0.3,3.15e-03 ± 5.66e-04,3.14902823e-03,5.66428995e-04,10,4,0.1
1024,0.5,2.24e-03 ± 2.88e-04,2.24135026e-03,2.88293307e-04,10,4,0.1
1024,0.7,1.15e-03 ± 3.37e-04,1.15304711e-03,3.36780582e-04,10,4,0.1
1024,0.9,1.42e-03 ± 4.90e-04,1.42201785e-03,4.90144559e-04,10,4,0.1
2048,0.1,2.55e-03 ± 2.84e-04,2.54822680e-03,2.84205207e-04,10,4,0.1
2048,0.3,2.28e-03 ± 2.99e-04,2.28290287e-03,2.99089425e-04,10,4,0.1
2048,0.5,1.48e-03 ± 2.06e-04,1.47949801e-03,2.05786971e-04,10,4,0.1
2048,0.7,1.27e-03 ± 3.85e-04,1.27152848e-03,3.85078523e-04,10,4,0.1
2048,0.9,1.26e-03 ± 2.23e-04,1.26054332e-03,2.23427712e-04,10,4,0.1
