sigma0,B,mean±std,mean,std,n_trials,depth,width,delta,teacher_steps,mu_seed
0.0001,0.001,1.00e+00 ± 7.64e-09,9.99999989e-01,7.63943561e-09,10,4,512,6.93147181e-02,10,0
0.0001,0.01,9.86e-01 ± 2.81e-03,9.86490605e-01,2.80981545e-03,10,4,512,6.93147181e-02,10,0
0.0001,0.1,3.16e-02 ± 1.09e-03,3.15792803e-02,1.09412624e-03,10,4,512,6.93147181e-02,10,0
0.0001,0.25,2.05e-02 ± 1.92e-03,2.04515640e-02,1.91673103e-03,10,4,512,6.93147181e-02,10,0
0.001,0.001,1.00e+00 ± 9.91e-07,9.99996678e-01,9.91000535e-07,10,4,512,6.93147181e-02,10,0
0.001,0.01,9.56e-01 ± 1.81e-03,9.55541428e-01,1.81416112e-03,10,4,512,6.93147181e-02,10,0
0.001,0.1,8.14e-03 ± 9.12e-04,8.14297785e-03,9.12011824e-04,10,4,512,6.93147181e-02,10,0
0.001,0.25,7.76e-03 ± 1.25e-03,7.75827312e-03,1.24992625e-03,10,4,512,6.93147181e-02,10,0
0.01,0.001,9.88e-01 ± 1.29e-04,9.87671864e-01,1.29360521e-04,10,4,512,6.93147181e-02,10,0
0.01,0.01,7.61e-01 ± 1.23e-02,7.61264580e-01,1.22711622e-02,10,4,512,6.93147181e-02,10,0
0.01,0.1,6.46e-03 ± 6.02e-04,6.45594789e-03,6.02053713e-04,10,4,512,6.93147181e-02,10,0
0.01,0.25,6.67e-03 ± 1.11e-03,6.66672893e-03,1.10650305e-03,10,4,512,6.93147181e-02,10,0
0.1,0.001,9.44e-01 ± 1.96e-04,9.43577538e-01,1.95746836e-04,10,4,512,6.93147181e-02,10,0
0.1,0.01,3.98e-03 ± 6.41e-04,3.98365041e-03,6.40695291e-04,10,4,512,6.93147181e-02,10,0
0.1,0.1,2.49e-05 ± 6.84e-06,2.48760970e-05,6.84055241e-06,10,4,512,6.93147181e-02,10,0
0.1,0.25,2.58e-05 ± 1.14e-05,2.58325735e-05,1.14424078e-05,10,4,512,6.93147181e-02,10,0
